   R0625040000030324Instrumentos financieros                      
0615330000BR51100610          19810630BRP500000000001965329INP    
0615330000BR61211103          19810731BRP500000000002400535INP    
0615330000BR41120702          19810531BRP500000000002556469INP    
0615330000BR41091101          19810531BRP500000000002604402INP    
0615330000BR41080814          19810531BRP500000000001759730INP    
0615330000BR61160803          19810731BRP500000000002421100INP    
0615330000BR41290502          19810531BRP500000000002562171INP    
0615330000BR51230103          19810630BRP500000000002479511INP    
0615330000BR51110110          19810630BRP500000000001990312INP    
0615330000BR51210711          19810630BRP500000000001897595INP    
0615330000BR51070502          19810630BRP500000000002523247INP    
0615330000BR51080208          19810630BRP500000000002114670INP    
0615330000BR42251103          19820531BRP500000000002237816INP    
0615330000BR61270810          19810731BRP500000000001946951INP    
0615330000BR41010610          19810531BRP500000000002001208INP    
0615330000BR44260705          19840531BRP500000000001272268INP    
0615330000BR41020807          19810531BRP500000000002186095INP    
0615330000BR61140114          19810731BRP500000000001752898INP    
0615330000BR41300908          19810531BRP500000000002107796INP    
0615330000BR51101212          19810630BRP500000000001819818INP    
0615330000BR51020104          19810630BRP500000000002407234INP    
0615330000BR51160808          19810630BRP500000000002077628INP    
0615330000BR51011204          19810630BRP500000000002335871INP    
0615330000BR44011206          19840531BRP500000000001219664INP    
0615330000BR41011214          19810531BRP500000000001744118INP    
0615330000BR41201111          19810531BRP500000000001915734INP    
0615330000BR41101109          19810531BRP500000000002034172INP    
0615330000BR41100909          19810531BRP500000000002044673INP    
0615330000BR41030604          19810531BRP500000000002410298INP    
0615330000BRA2170707          19821231BRP500000000001634444INP    
0615330000BE95130901          19851031BRP500000000000943841INP    
0615330000BR91151106          19811031BRP500000000002106109INP    
0615330000BR52090311          19820630BRP500000000001781994INP    
0615330000BR26060402          19860331BRP500000000000843599INP    
0615330000BR01290502          19811130BRP500000000002402898INP    
0615330000BR12120805          19820228BRP500000000002125687INP    
0615330000BR01280104          19811130BRP500000000002290468INP    
0615330000BR51020912          19810630BRP500000000001836520INP    
0615330000BR41010212          19810531BRP500000000001901400INP    
0615330000BR41130610          19810531BRP500000000001996596INP    
0615330000BR41010116          19810531BRP500000000001686638INP    
0615330000BR41230606          19810531BRP500000000002257489INP    
0615330000BR22201005          19820331BRP500000000002121425INP    
0615330000BR41010105          19810531BRP500000000002368178INP    
0615330000BR33150304          19830430BRP500000000001703532INP    
0615330000BR71100908          19810831BRP500000000002046206INP    
0615330000BR51140405          19810630BRP500000000002306410INP    
0615330000BR51060709          19810630BRP500000000002023496INP    
0615330000BR51060102          19810630BRP500000000002549917INP    
0615330000BR51080603          19810630BRP500000000002447568INP    
0615330000BR32051006          19820430BRP500000000002047159INP    
0615330000BR41200515          19810531BRP500000000001721237INP    
0615330000BR41141102          19810531BRP500000000002529477INP    
0615330000BR51220508          19810630BRP500000000002099861INP    
0615330000BR41090603          19810531BRP500000000002487468INP    
0615330000BR33100102          19830430BRP500000000001820255INP    
0615330000BR22010707          19820331BRP500000000002016982INP    
0615330000BR41270507          19810531BRP500000000002199740INP    
0615330000BR41090614          19810531BRP500000000001768321INP    
0615330000BR41210907          19810531BRP500000000002172373INP    
0615330000BR41090710          19810531BRP500000000001993263INP    
0615330000BR91100402          19811031BRP500000000002425655INP    
0615330000BR51170210          19810630BRP500000000001982662INP    
0615330000BR32111001          19820430BRP500000000002383258INP    
0615330000BR13261005          19830228BRP500000000001667592INP    
0615330000BR51230710          19810630BRP500000000001961934INP    
0615330000BR41250116          19810531BRP500000000001684356INP    
0615330000BR51140304          19810630BRP500000000002385109INP    
0615330000BR41190904          19810531BRP500000000002384452INP    
0615330000BR51060907          19810630BRP500000000002143081INP    
0615330000BR41100308          19810531BRP500000000002143820INP    
0615330000BR41251004          19810531BRP500000000002383662INP    
0615330000BR41101014          19810531BRP500000000001750097INP    
0615330000BR41150614          19810531BRP500000000001766286INP    
0615330000BR3B111006          19920430BRP500000000000201180INP    
0615330000BR41140911          19810531BRP500000000001921529INP    
0615330000BR41140712          19810531BRP500000000001872572INP    
0615330000BR61230309          19810731BRP500000000002036381INP    
0615330000BR51030507          19810630BRP500000000002167050INP    
0615330000BR42290601          19820531BRP500000000002402393INP    
0615330000BR41260712          19810531BRP500000000001874466INP    
0615330000BR61191002          19810731BRP500000000002481825INP    
0615330000BR51101201          19810630BRP500000000002554947INP    
0615330000BR51020812          19810630BRP500000000001841373INP    
0615330000BR41260912          19810531BRP500000000001864537INP    
0615330000BR52180610          19820630BRP500000000001826083INP    
0615330000BR51010701          19810630BRP500000000002593392INP    
0615330000BR41300308          19810531BRP500000000002142513INP    
0615330000BR41090909          19810531BRP500000000002045067INP    
0615330000BR41270411          19810531BRP500000000001948108INP    
0615330000BR41260514          19810531BRP500000000001773078INP    
0615330000BR41050412          19810531BRP500000000001890359INP    
0615330000BR41010804          19810531BRP500000000002399042INP    
0615330000BRA2150507          19821231BRP500000000001643527INP    
0615330000AE41101006          19810531BRP500000000002240225INP    
0615330000BR01251101          19811130BRP500000000002441970INP    
0615330000BR01240410          19811130BRP500000000001884390INP    
0615330000BR71210803          19810831BRP500000000002403920INP    
0615330000BR61140902          19810731BRP500000000002490157INP    
0615330000BR51230701          19810630BRP500000000002582335INP    
